Model,Report By,Report Date,Output Format,Cascade-Level1-CL,Cascade-Level1-SK,Cascade-Level1-Code,Cascade-Level1-PV,Cascade-Level2-SK,Cascade-Level2-Code,Cascade-Level2-PV,Direct-Level1-Code,Direct-Level1-PV,Direct-Level2-Code,Direct-Level2-PV,Direct-Level3-Code,Direct-Level3-PV
Llama-2-7B,ProjectEval,2025/2/15,JSON,0.01128,0.00428,0.00322,0,0,0.0049,0,0.00134,0,0.003,0,0.004,0
Llama-3.1-7B,ProjectEval,2025/2/15,JSON,0.03614,0.02598,0.01406,0.00328,0.01918,0.01988,0.00682,0.01924,0.00678,0.01838,0.00386,0.04736,0.0054
Llama-3.2-3B,ProjectEval,2025/2/15,JSON,0.01002,0.00266,0.01612,0,0.0055,0,0,0.00172,0,0,0,0.00166,0
Phi-3-14B,ProjectEval,2025/2/15,JSON,0.05622,0.01688,0.0137,0.00436,0.01142,0.00882,0,0.003,0,0,0,0.00294,0
Phi-4-14B,ProjectEval,2025/2/15,JSON,0.41924,0.03736,0.01714,0.01372,0.02418,0.03816,0.04742,0.10868,0.10756,0.06866,0.08152,0.13318,0.09702
Gemma-7B,ProjectEval,2025/2/15,JSON,0.38076,0.05704,0.05122,0,0.06982,0.06366,0,0.01946,0,0.02376,0,0.05384,0
Gemma-2-9B,ProjectEval,2025/2/15,JSON,0.40248,0.07898,0.07534,0.0932,0.07702,0.09054,0.06618,0.05496,0.08934,0.05966,0.06588,0.0807,0.05188
Mistral-7B-v0.3,ProjectEval,2025/2/15,JSON,0.04204,0.0712,0.08726,0.09744,0.07034,0.0748,0.07136,0.06372,0.06164,0.068,0.07446,0.07808,0.07232
StarCoder2-7B,ProjectEval,2025/2/15,JSON,-,-,-,-,-,-,-,-,-,-,-,0,0
CodeGemma,ProjectEval,2025/2/15,JSON,-,-,-,-,-,-,-,-,-,-,-,0.09986,0.14748
CodeLlama,ProjectEval,2025/2/15,JSON,-,-,-,-,-,-,-,-,-,-,-,0.0544,0.00986
GPT-3.5-turbo ,ProjectEval,2025/2/15,JSON,0.38334,0.08818,0.13734,0.38464,0.12564,0.13548,0.423,0.13272,0.3773,0.1391,0.41192,0.34194,0.3921
GPT-4o,ProjectEval,2025/2/15,JSON,0.55734,0.16572,0.36368,0.54752,0.15464,0.36424,0.53622,0.35184,0.5175,0.33104,0.5016,0.53008,0.62688
Gemini 1.5 pro ,ProjectEval,2025/2/15,JSON,0.49478,0.14008,0.3196,0.18152,0.1522,0.31042,0.2562,0.15972,0.09988,0.24318,0.22046,0.46512,0.27902
Gemini 2.0-flash,ProjectEval,2025/2/15,JSON,0.51848,0.1608,0.20632,0.06608,0.17632,0.22022,0.11532,0.26394,0.10462,0.24988,0.13388,0.41894,0.194
Gemini 2.0-pro*,ProjectEval,2025/2/15,JSON,0.4944,0.1369,0.1686,0.0509,0.1993,0.2409,0.1091,0.0261,0,0.3019,0.1622,0.3695,0.1039
OpenHands(GPT-4o)*,ProjectEval,2025/4/25,Files,-,-,-,-,-,-,-,0.2296,0.3551,-,-,-,-
Gemma-3-4B,ProjectEval,2025/5/30,JSON,0.292809231,0.075850769,0.113353846,0.110973846,0.083504615,0.120924615,0.125509231,0.108518462,0.131764615,0.114244615,0.127070769,0.16439,0.12340375
Gemma-3-27B,ProjectEval,2025/5/30,JSON,0.277273018,0.070910059,0.097488757,0.105547219,0.078220355,0.106348047,0.115456095,0.108506036,0.133626509,0.117751124,0.130574675,0.174560625,0.131116484
